# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2024-02-27T00:38:40.568Z
#
# Location: GEO 62.38N 215.0E, URSI-Code GA762 GAKONA
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2012-02-07T00:00:00.000Z - 2012-02-08T00:00:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foEs [MHz] - Es layer critical frequency
# foE [MHz] - E layer critical frequency
# hE [km] - Minimum virtual height of E trace
# hEs [km] - Minimum virtual height of Es trace
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of GA762 data provider
#
#Time                     CS  foEs QD   foE QD     hE QD    hEs QD
2012-02-07T00:00:00.000Z  80  2.38 //  2.26 //  109.0 //  136.9 //
2012-02-07T00:07:30.000Z  80  2.15 //  2.18 //  116.2 //  144.0 //
2012-02-07T00:15:00.000Z  20  2.17 //  2.18 //  122.9 //  160.3 //
2012-02-07T00:22:30.000Z  40   --- __  2.08 //  130.0 //    --- __
2012-02-07T00:52:30.000Z   0  2.17 //  1.96 //  127.8 //  135.0 //
2012-02-07T00:58:00.000Z  60  2.05 //  1.91 //  130.1 //  143.0 //
2012-02-07T01:00:00.000Z  65   --- __  1.89 //  133.0 //    --- __
2012-02-07T01:01:30.000Z  70  2.04 //   --- __    --- __  131.7 //
2012-02-07T01:03:00.000Z  80  2.05 //  1.81 //  130.0 //  131.9 //
2012-02-07T01:06:30.000Z  70  1.96 //  1.85 //  126.7 //  138.8 //
2012-02-07T01:07:30.000Z  80   --- __  1.85 //  128.9 //    --- __
2012-02-07T01:12:00.000Z  40   --- __  1.81 //  128.2 //    --- __
2012-02-07T01:20:30.000Z  70   --- __  1.77 //  108.7 //    --- __
2012-02-07T01:21:30.000Z  70   --- __  1.73 //  128.0 //    --- __
2012-02-07T01:26:00.000Z  70   --- __  1.71 //  125.0 //    --- __
2012-02-07T05:22:30.000Z  20  1.92 //   --- __    --- __  109.4 //
2012-02-07T06:22:30.000Z  25  1.80 //   --- __    --- __   97.1 //
2012-02-07T06:30:00.000Z  45  1.85 //   --- __    --- __   90.0 //
2012-02-07T08:30:00.000Z  40  1.80 //   --- __    --- __   89.2 //
2012-02-07T09:00:00.000Z  20  1.60 //   --- __    --- __  140.0 //
