# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2024-02-26T20:02:42.670Z
#
# Location: GEO 62.38N 215.0E, URSI-Code GA762 GAKONA
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2012-03-15T00:00:00.000Z - 2012-03-16T00:00:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foEs [MHz] - Es layer critical frequency
# foE [MHz] - E layer critical frequency
# hE [km] - Minimum virtual height of E trace
# hEs [km] - Minimum virtual height of Es trace
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of GA762 data provider
#
#Time                     CS  foEs QD   foE QD     hE QD    hEs QD
2012-03-15T17:15:00.000Z  75  2.20 //   --- __    --- __  115.9 //
2012-03-15T17:37:30.000Z  20  1.85 //   --- __    --- __   88.1 //
2012-03-15T17:45:00.000Z  75  1.55 //   --- __    --- __   87.5 //
2012-03-15T17:52:30.000Z  75  2.03 //  1.96 //   82.0 //   85.0 //
2012-03-15T18:37:30.000Z  75   --- __  1.96 //   82.8 //    --- __
2012-03-15T18:52:30.000Z  30  1.95 //   --- __    --- __   85.0 //
2012-03-15T19:07:30.000Z  20  1.77 //   --- __    --- __   87.5 //
2012-03-15T19:22:30.000Z  75  3.00 //   --- __    --- __  130.0 //
2012-03-15T19:30:00.000Z  75  1.23 //   --- __    --- __   87.5 //
2012-03-15T19:37:30.000Z  75  2.17 //   --- __    --- __   87.5 //
2012-03-15T19:45:00.000Z  75  1.80 //   --- __    --- __   95.0 //
2012-03-15T19:52:30.000Z  75  2.85 //   --- __    --- __  124.2 //
2012-03-15T20:00:00.000Z  75  1.80 //   --- __    --- __   86.3 //
2012-03-15T20:07:30.000Z  25  1.95 //   --- __    --- __   86.7 //
2012-03-15T20:15:00.000Z  75  2.72 //   --- __    --- __  132.5 //
2012-03-15T20:22:30.000Z  75  2.70 //  2.86 //  108.4 //  127.5 //
2012-03-15T20:45:00.000Z  75   --- __  2.81 //  100.1 //    --- __
2012-03-15T20:52:30.000Z  20  2.78 //   --- __    --- __  121.5 //
2012-03-15T21:00:00.000Z  40  2.70 //   --- __    --- __  114.3 //
2012-03-15T21:15:00.000Z  25  1.90 //   --- __    --- __   85.0 //
2012-03-15T21:22:30.000Z  75  1.63 //   --- __    --- __   85.0 //
2012-03-15T21:30:00.000Z  75  1.90 //   --- __    --- __   83.8 //
2012-03-15T21:45:00.000Z  75  1.75 //   --- __    --- __   86.3 //
2012-03-15T22:22:30.000Z  20  2.25 //   --- __    --- __   82.5 //
2012-03-15T22:37:30.000Z  25  1.63 //   --- __    --- __   84.1 //
2012-03-15T22:45:00.000Z  75  1.85 //   --- __    --- __   86.3 //
2012-03-15T22:52:30.000Z  25  1.60 //   --- __    --- __   89.1 //
2012-03-15T23:00:00.000Z  40  1.83 //   --- __    --- __   93.1 //
2012-03-15T23:22:30.000Z  65  1.83 //   --- __    --- __   85.0 //
2012-03-15T23:30:00.000Z  65  2.65 //  2.68 //   99.7 //  109.4 //
2012-03-15T23:45:00.000Z  65  1.63 //   --- __    --- __   82.5 //
2012-03-16T00:00:00.000Z  25  1.52 //   --- __    --- __   81.3 //
