# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2024-02-26T20:03:11.259Z
#
# Location: GEO 62.38N 215.0E, URSI-Code GA762 GAKONA
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2012-04-25T00:00:00.000Z - 2012-04-26T00:00:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foEs [MHz] - Es layer critical frequency
# foE [MHz] - E layer critical frequency
# hE [km] - Minimum virtual height of E trace
# hEs [km] - Minimum virtual height of Es trace
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of GA762 data provider
#
#Time                     CS  foEs QD   foE QD     hE QD    hEs QD
2012-04-25T09:07:30.000Z  75  3.90 //   --- __    --- __  126.5 //
2012-04-25T09:15:00.000Z  75  4.40 //   --- __    --- __  111.9 //
2012-04-25T09:22:30.000Z  25  3.28 //   --- __    --- __  110.6 //
2012-04-25T09:30:00.000Z  75  4.63 //   --- __    --- __  132.0 //
2012-04-25T09:37:30.000Z  75  4.53 //   --- __    --- __  107.5 //
2012-04-25T09:45:00.000Z  75  4.05 //   --- __    --- __  158.0 //
2012-04-25T09:52:30.000Z  75  3.95 //   --- __    --- __  114.0 //
2012-04-25T10:37:30.000Z  75  1.38 //   --- __    --- __   86.3 //
2012-04-25T11:22:30.000Z  75  1.95 //   --- __    --- __   90.0 //
2012-04-25T12:15:00.000Z  45  1.80 //   --- __    --- __   85.0 //
2012-04-25T12:37:30.000Z  75  1.90 //   --- __    --- __   84.4 //
2012-04-25T12:45:00.000Z  75  1.75 //   --- __    --- __   85.0 //
2012-04-25T13:15:00.000Z  75  2.47 //   --- __    --- __   91.3 //
2012-04-25T13:22:30.000Z  20  2.72 //   --- __    --- __   96.3 //
2012-04-25T13:45:00.000Z  75  1.38 //  1.15 //   83.5 //   86.5 //
2012-04-25T14:00:00.000Z  75   --- __  1.28 //   82.4 //    --- __
2012-04-25T15:07:30.000Z  40  2.35 //   --- __    --- __   95.0 //
2012-04-25T15:22:30.000Z   0  3.65 //   --- __    --- __  101.3 //
2012-04-25T16:22:30.000Z  15  1.55 //   --- __    --- __   86.3 //
2012-04-25T17:30:00.000Z  25  1.77 //   --- __    --- __   86.3 //
2012-04-25T17:52:30.000Z  75  2.28 //   --- __    --- __  133.1 //
2012-04-25T19:07:30.000Z  75  1.63 //   --- __    --- __   84.4 //
2012-04-25T19:30:00.000Z  75  1.38 //   --- __    --- __   86.3 //
2012-04-25T19:37:30.000Z  75  1.92 //   --- __    --- __   90.6 //
2012-04-25T20:22:30.000Z  75  4.85 //   --- __    --- __   86.3 //
2012-04-25T20:30:00.000Z  75  1.35 //   --- __    --- __   84.2 //
2012-04-25T21:52:30.000Z  20  2.00 //   --- __    --- __   85.0 //
2012-04-25T22:07:30.000Z  25  2.05 //   --- __    --- __   86.3 //
2012-04-25T22:15:00.000Z  75  1.27 //   --- __    --- __  137.9 //
2012-04-25T22:22:30.000Z  75  1.75 //   --- __    --- __   86.3 //
2012-04-25T22:30:00.000Z  25  1.77 //   --- __    --- __   85.0 //
2012-04-25T22:45:00.000Z  75  2.40 //   --- __    --- __   86.3 //
2012-04-25T22:52:30.000Z   0  2.00 //   --- __    --- __   86.7 //
2012-04-25T23:00:00.000Z  20  4.10 //   --- __    --- __   89.4 //
2012-04-25T23:22:30.000Z  75  2.20 //   --- __    --- __   87.5 //
2012-04-25T23:45:00.000Z  25  1.77 //   --- __    --- __   88.8 //
2012-04-26T00:00:00.000Z  40  2.25 //   --- __    --- __   82.5 //
