# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2024-02-26T20:00:54.226Z
#
# Location: GEO 62.38N 215.0E, URSI-Code GA762 GAKONA
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2012-03-07T00:00:00.000Z - 2012-03-08T00:00:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foEs [MHz] - Es layer critical frequency
# foE [MHz] - E layer critical frequency
# hE [km] - Minimum virtual height of E trace
# hEs [km] - Minimum virtual height of Es trace
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of GA762 data provider
#
#Time                     CS  foEs QD   foE QD     hE QD    hEs QD
2012-03-07T17:52:30.000Z  75  2.03 //   --- __    --- __   90.0 //
2012-03-07T18:45:00.000Z  75  1.60 //   --- __    --- __   84.7 //
2012-03-07T18:52:30.000Z  75  1.85 //   --- __    --- __   92.2 //
2012-03-07T19:07:30.000Z  75  1.77 //   --- __    --- __   95.0 //
2012-03-07T19:15:00.000Z  75  1.85 //   --- __    --- __   86.3 //
2012-03-07T19:30:00.000Z  25  1.85 //   --- __    --- __   90.0 //
2012-03-07T20:07:30.000Z  75  1.80 //   --- __    --- __   86.8 //
2012-03-07T20:37:30.000Z  20  1.23 //   --- __    --- __   86.3 //
2012-03-07T21:00:00.000Z  70  1.38 //   --- __    --- __   86.6 //
2012-03-07T21:15:00.000Z  75  1.25 //   --- __    --- __   87.5 //
2012-03-07T21:30:00.000Z  70  1.85 //   --- __    --- __   85.0 //
2012-03-07T22:15:00.000Z  75  1.85 //   --- __    --- __  135.6 //
2012-03-07T22:22:30.000Z  75  1.80 //   --- __    --- __  138.4 //
2012-03-07T22:37:30.000Z  75  1.77 //   --- __    --- __   85.0 //
2012-03-07T22:45:00.000Z  75  2.28 //   --- __    --- __   82.5 //
2012-03-07T22:52:30.000Z  70  1.88 //   --- __    --- __   87.5 //
2012-03-07T23:07:30.000Z  25  1.85 //   --- __    --- __   87.5 //
2012-03-07T23:15:00.000Z  75  1.75 //   --- __    --- __  128.1 //
2012-03-07T23:22:30.000Z  20  1.38 //   --- __    --- __   87.5 //
