# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2024-02-27T00:39:31.965Z
#
# Location: GEO 62.38N 215.0E, URSI-Code GA762 GAKONA
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2012-04-03T00:00:00.000Z - 2012-04-04T00:00:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foEs [MHz] - Es layer critical frequency
# foE [MHz] - E layer critical frequency
# hE [km] - Minimum virtual height of E trace
# hEs [km] - Minimum virtual height of Es trace
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of GA762 data provider
#
#Time                     CS  foEs QD   foE QD     hE QD    hEs QD
2012-04-03T00:07:30.000Z  90   --- __  2.61 //  114.0 //    --- __
2012-04-03T03:30:00.000Z  65   --- __  1.28 //   83.1 //    --- __
2012-04-03T03:37:30.000Z  65   --- __  1.48 //  114.8 //    --- __
2012-04-03T03:45:00.000Z  90   --- __  1.33 //   80.2 //    --- __
2012-04-03T04:45:00.000Z  70  3.15 //   --- __    --- __  123.8 //
2012-04-03T04:52:30.000Z  70  2.88 //   --- __    --- __  122.5 //
2012-04-03T05:07:30.000Z  15  4.63 //   --- __    --- __  122.5 //
2012-04-03T05:15:00.000Z  60  2.78 //   --- __    --- __  120.0 //
2012-04-03T10:52:30.000Z  15  1.52 //   --- __    --- __  137.5 //
2012-04-03T11:00:00.000Z   0  1.23 //   --- __    --- __  138.8 //
2012-04-03T11:22:30.000Z   0  1.42 //   --- __    --- __  135.0 //
2012-04-03T12:00:00.000Z  65  1.65 //   --- __    --- __  136.3 //
2012-04-03T12:07:30.000Z  20  1.83 //   --- __    --- __  127.5 //
2012-04-03T12:22:30.000Z   0  1.58 //   --- __    --- __  128.8 //
2012-04-03T12:30:00.000Z  15  2.75 //   --- __    --- __  123.8 //
2012-04-03T12:37:30.000Z  20  2.90 //   --- __    --- __  122.5 //
2012-04-03T12:45:00.000Z  40  4.75 //   --- __    --- __  121.3 //
2012-04-03T12:52:30.000Z  25  3.63 //   --- __    --- __  120.0 //
2012-04-03T13:00:00.000Z  70  3.15 //   --- __    --- __  121.3 //
2012-04-03T13:07:30.000Z  40  2.53 //   --- __    --- __  120.0 //
2012-04-03T13:15:00.000Z  20  2.83 //   --- __    --- __  121.3 //
2012-04-03T13:22:30.000Z  20  2.17 //   --- __    --- __  120.0 //
2012-04-03T13:30:00.000Z  25  1.92 //   --- __    --- __  117.5 //
2012-04-03T13:37:30.000Z   0  1.55 //   --- __    --- __  118.8 //
2012-04-03T13:45:00.000Z   0  1.63 //   --- __    --- __  120.0 //
2012-04-03T13:52:30.000Z  35  1.55 //   --- __    --- __  113.8 //
2012-04-03T14:00:00.000Z  35  1.48 //   --- __    --- __  116.3 //
2012-04-03T14:07:30.000Z  65  1.58 //   --- __    --- __  117.5 //
2012-04-03T14:15:00.000Z  35  1.55 //   --- __    --- __  117.5 //
2012-04-03T14:22:30.000Z  15  1.73 //   --- __    --- __  112.5 //
2012-04-03T14:30:00.000Z   0  1.73 //   --- __    --- __  113.8 //
2012-04-03T14:37:30.000Z  60  1.77 //  1.18 //  114.0 //  112.5 //
2012-04-03T14:45:00.000Z  60  1.92 //  1.25 //  115.0 //  115.0 //
2012-04-03T14:52:30.000Z  35  1.80 //   --- __    --- __  116.3 //
2012-04-03T15:00:00.000Z  70  1.50 //  1.53 //  119.0 //  125.0 //
2012-04-03T15:07:30.000Z  60   --- __  1.55 //  103.0 //    --- __
2012-04-03T15:15:00.000Z  70  1.85 //  1.61 //  105.5 //  126.3 //
2012-04-03T15:22:30.000Z  60  1.92 //  1.71 //  119.7 //  129.4 //
2012-04-03T15:30:00.000Z  70   --- __  1.83 //  117.0 //    --- __
2012-04-03T15:37:30.000Z  80  1.98 //  1.83 //  119.0 //  130.5 //
2012-04-03T15:45:00.000Z  60  2.08 //  1.90 //  117.0 //  133.1 //
2012-04-03T15:52:30.000Z  80  1.92 //  1.83 //  118.0 //  120.0 //
2012-04-03T16:00:00.000Z  80  2.03 //  2.03 //  116.7 //  125.6 //
2012-04-03T16:07:30.000Z  80  1.90 //  1.93 //  115.7 //  114.4 //
2012-04-03T16:15:00.000Z  70  2.22 //  2.13 //  113.0 //  120.0 //
2012-04-03T16:22:30.000Z   0  2.28 //  2.01 //  113.0 //  125.0 //
2012-04-03T16:30:00.000Z  40  2.20 //  2.23 //  111.0 //  120.0 //
2012-04-03T16:37:30.000Z  80  1.95 //  2.18 //  110.0 //  113.8 //
