# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2024-02-26T20:01:53.341Z
#
# Location: GEO 62.38N 215.0E, URSI-Code GA762 GAKONA
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2012-03-13T00:00:00.000Z - 2012-03-14T00:00:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foEs [MHz] - Es layer critical frequency
# foE [MHz] - E layer critical frequency
# hE [km] - Minimum virtual height of E trace
# hEs [km] - Minimum virtual height of Es trace
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of GA762 data provider
#
#Time                     CS  foEs QD   foE QD     hE QD    hEs QD
2012-03-13T18:45:00.000Z  70  1.83 //   --- __    --- __  124.7 //
2012-03-13T19:00:00.000Z  25  1.83 //   --- __    --- __   81.3 //
2012-03-13T19:07:30.000Z  75  1.83 //   --- __    --- __   85.0 //
2012-03-13T19:15:00.000Z  70  1.83 //   --- __    --- __   92.2 //
2012-03-13T19:30:00.000Z  45  1.83 //   --- __    --- __   84.2 //
2012-03-13T20:07:30.000Z  45  1.92 //   --- __    --- __   83.8 //
2012-03-13T20:15:00.000Z  70  2.25 //   --- __    --- __   97.0 //
2012-03-13T21:22:30.000Z  25  1.40 //   --- __    --- __   85.0 //
2012-03-13T22:07:30.000Z  65  1.92 //   --- __    --- __   84.5 //
2012-03-13T22:15:00.000Z  65  2.25 //   --- __    --- __   84.8 //
2012-03-13T22:30:00.000Z  65  1.80 //   --- __    --- __   82.5 //
2012-03-13T22:52:30.000Z  95  1.60 //   --- __    --- __   85.0 //
2012-03-13T23:22:30.000Z  65  1.42 //   --- __    --- __   81.3 //
2012-03-13T23:52:30.000Z  65  1.75 //   --- __    --- __   83.8 //
2012-03-14T00:00:00.000Z  45  1.80 //   --- __    --- __   87.5 //
