# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2024-02-26T19:59:23.061Z
#
# Location: GEO 62.38N 215.0E, URSI-Code GA762 GAKONA
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2012-03-08T00:00:00.000Z - 2012-03-09T00:00:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foEs [MHz] - Es layer critical frequency
# foE [MHz] - E layer critical frequency
# hE [km] - Minimum virtual height of E trace
# hEs [km] - Minimum virtual height of Es trace
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of GA762 data provider
#
#Time                     CS  foEs QD   foE QD     hE QD    hEs QD
2012-03-08T16:22:30.000Z  75  1.98 //   --- __    --- __   93.5 //
2012-03-08T16:45:00.000Z  75  1.80 //   --- __    --- __   86.3 //
2012-03-08T17:00:00.000Z  50  2.35 //   --- __    --- __   90.6 //
2012-03-08T17:37:30.000Z  75  1.80 //   --- __    --- __   84.4 //
2012-03-08T18:00:00.000Z  75  1.83 //   --- __    --- __   85.0 //
2012-03-08T18:07:30.000Z  75  1.80 //   --- __    --- __   91.3 //
2012-03-08T18:37:30.000Z  75  1.30 //   --- __    --- __   87.5 //
2012-03-08T18:45:00.000Z  25  1.80 //   --- __    --- __   81.3 //
2012-03-08T18:52:30.000Z   0  1.35 //   --- __    --- __   86.3 //
2012-03-08T19:00:00.000Z  20  1.98 //   --- __    --- __  106.9 //
2012-03-08T19:07:30.000Z  75  1.92 //   --- __    --- __   84.0 //
2012-03-08T19:30:00.000Z  75  1.90 //   --- __    --- __   86.6 //
2012-03-08T19:52:30.000Z  70  1.92 //   --- __    --- __   85.0 //
2012-03-08T20:00:00.000Z  75  1.98 //   --- __    --- __   85.0 //
2012-03-08T20:15:00.000Z  25  1.98 //   --- __    --- __   84.1 //
2012-03-08T20:22:30.000Z  25  1.80 //   --- __    --- __   87.5 //
2012-03-08T20:37:30.000Z  75  1.35 //   --- __    --- __   81.3 //
2012-03-08T20:45:00.000Z   0  1.92 //   --- __    --- __  127.5 //
2012-03-08T21:30:00.000Z  25  1.63 //   --- __    --- __   85.0 //
2012-03-08T21:37:30.000Z  75  1.98 //   --- __    --- __   94.4 //
2012-03-08T21:52:30.000Z  75  1.92 //   --- __    --- __   92.1 //
2012-03-08T22:22:30.000Z  25  1.77 //   --- __    --- __  134.2 //
2012-03-08T22:30:00.000Z  50  1.92 //  1.88 //   83.7 //  106.3 //
2012-03-08T22:37:30.000Z  75  1.88 //   --- __    --- __   84.4 //
2012-03-08T22:45:00.000Z  50  1.85 //  1.80 //   81.3 //  147.5 //
2012-03-08T22:52:30.000Z  25  1.25 //   --- __    --- __  112.8 //
2012-03-08T23:00:00.000Z  75   --- __  1.83 //   96.0 //    --- __
2012-03-08T23:30:00.000Z  75  1.55 //   --- __    --- __  101.3 //
2012-03-08T23:37:30.000Z  25  1.83 //   --- __    --- __  107.5 //
2012-03-08T23:52:30.000Z  25  1.55 //   --- __    --- __   84.4 //
