# Global Ionospheric Radio Observatory
# GIRO Tabulated Ionospheric Characteristics, Version 1.0 Revision B
# Generated by DIDBGetValues on 2023-12-06T00:50:48.480Z
#
# Location: GEO 62.38N 215.0E, URSI-Code GA762 GAKONA
# Instrument: Ionosonde, Model: DPS-4D
#
# Query for measurement intervals of time:
# 2012-01-01T00:01:00.000Z - 2013-01-01T00:00:00.000Z
#
# Data Selection:
# CS is Autoscaling Confidence Score (from 0 to 100, 999 if manual scaling, -1 if unknown)
# foF2 [MHz] - F2 layer critical frequency
# foEs [MHz] - Es layer critical frequency
#
# All GIRO measurements are released under CC-BY-NC-SA 4.0 license
# Please follow the Lowell GIRO Data Center RULES OF THE ROAD
# https://ulcar.uml.edu/DIDBase/RulesOfTheRoadForDIDBase.htm
# Requires acknowledgement of GA762 data provider
#
#Time                     CS   foF2 QD  foEs QD
2012-01-01T14:22:30.000Z  60  2.575 //   --- __
2012-01-01T14:30:00.000Z  70  3.900 //   --- __
2012-01-01T14:37:30.000Z  40  3.725 //   --- __
2012-01-01T14:45:00.000Z  70  3.525 //   --- __
2012-01-01T14:52:30.000Z  70  3.725 //   --- __
2012-01-01T15:00:00.000Z  45  2.650 //   --- __
2012-01-01T15:07:30.000Z  50  3.750 //   --- __
2012-01-01T15:15:00.000Z  25  2.725 //   --- __
2012-01-01T15:22:30.000Z  65  3.375 //   --- __
2012-01-01T15:30:00.000Z  50  3.800 //   --- __
2012-01-01T15:37:30.000Z  40  3.350 //   --- __
2012-01-01T15:45:00.000Z  70  2.100 //   --- __
2012-01-01T15:52:30.000Z  25  2.000 //   --- __
2012-01-01T15:59:58.000Z  45  2.275 //   --- __
2012-01-01T16:07:27.000Z  45  3.400 //   --- __
2012-01-01T16:14:56.000Z  70  3.625 //   --- __
2012-01-01T16:22:25.000Z  70  3.425 //   --- __
2012-01-01T16:29:54.000Z  70  3.250 //   --- __
2012-01-01T16:37:23.000Z  70  2.600 //   --- __
2012-01-01T16:44:52.000Z  45  3.250 //   --- __
2012-01-01T16:59:50.000Z  65  1.850 //   --- __
2012-01-01T17:07:19.000Z  70  1.950 //   --- __
2012-01-01T17:14:48.000Z  45  2.000 //   --- __
2012-01-01T17:22:17.000Z  70  2.600 //   --- __
2012-01-01T17:29:46.000Z   0  2.000 //   --- __
2012-01-01T17:37:15.000Z  65  2.575 //   --- __
2012-01-01T17:44:44.000Z  60  2.750 //   --- __
